 06/30/2003_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2003_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2003_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2003_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2003_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2003_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2003_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/29/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2004_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/28/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2005_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/28/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2006_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/28/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2007_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/29/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2008_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/28/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2009_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/28/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2010_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/28/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2011_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/29/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2012_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/28/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2013_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/28/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 10/31/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 11/30/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 12/31/2014_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 01/31/2015_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 02/28/2015_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 03/31/2015_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 04/30/2015_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 05/31/2015_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 06/30/2015_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 07/31/2015_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 08/31/2015_24:00     0.000   0.010   0.010   0.100   0.150   0.000
 09/30/2015_24:00     0.000   0.010   0.010   0.100   0.150   0.000
C-------------------------------------------------------------------------------
C                   Pathnames for Return Flow Fractions Data
C                             (READ FROM DSS FILE)
C
C   List the pathnames for return flow fractions data below, if it 
C   will be read from a DSS file (i.e. DSSFL is specified above).
C
C   REC  ;  Time series record number
C   PATH ;  Pathname for the time series record 
C
C----------------------------------------------------------------------------------------------------------- 
C   REC     PATH
C-----------------------------------------------------------------------------------------------------------
*
*
